timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659015636825,542,GET TOKEN-6,200,OK,Thread Group 1-2,text,true,,72830,350,17,17,https://code.jquery.com/jquery-3.6.0.slim.min.js,517,0,492
1659015636844,490,GET TOKEN-7,200,OK,Thread Group 1-2,text,true,,85417,378,17,17,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,482,0,414
1659015637339,111,GET TOKEN-8,200,OK,Thread Group 1-2,text,true,,90634,367,17,17,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,101,0,76
1659015637379,110,GET TOKEN-9,200,OK,Thread Group 1-2,text,true,,91004,363,17,17,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,101,0,74
1659015637416,93,GET TOKEN-10,200,OK,Thread Group 1-2,text,true,,5242,367,17,17,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,93,0,56
1659015637416,114,GET TOKEN-11,200,OK,Thread Group 1-2,text,true,,74426,372,17,17,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,102,0,65
1659015637451,50,GET TOKEN-12,200,OK,Thread Group 1-2,text,true,,1518,397,17,17,http://localhost/static/js/sb-admin.min.js,50,0,0
1659015637489,28,GET TOKEN-13,200,OK,Thread Group 1-2,text,true,,1389,387,17,17,http://localhost/dist/app.min.js,28,0,0
1659015637490,36,GET TOKEN-14,200,OK,Thread Group 1-2,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,36,0,0
1659015637488,29,GET TOKEN-14,200,OK,Thread Group 1-3,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,29,0,0
1659015637489,26,GET TOKEN-14,200,OK,Thread Group 1-1,text,true,,909,399,17,17,http://localhost/dist/accountSwitcher.min.js,26,0,0
1659015636913,850,GET TOKEN,200,OK,Thread Group 1-7,text,true,,894670,5989,20,20,http://localhost/login,612,0,0
1659015636913,613,GET TOKEN-0,200,OK,Thread Group 1-7,text,true,,59945,325,20,20,http://localhost/login,612,0,0
1659015637530,42,GET TOKEN-1,200,OK,Thread Group 1-7,bin,true,,110571,390,20,20,http://localhost/static/favicon.ico,22,0,0
1659015637531,87,GET TOKEN-2,200,OK,Thread Group 1-7,text,true,,85086,381,20,20,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,77,0,46
1659015637534,132,GET TOKEN-3,200,OK,Thread Group 1-7,text,true,,186579,770,20,20,http://localhost/dist/style.min.css,11,0,3
1659015637534,37,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,11,0,3
1659015637573,93,GET TOKEN-1,200,OK,ResDownload-Thread-20,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,93,0,60
1659015637532,87,GET TOKEN-4,200,OK,Thread Group 1-7,text,true,,11624,369,20,20,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,86,0,61
1659015637532,88,GET TOKEN-5,200,OK,Thread Group 1-7,text,true,,17500,374,20,20,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,87,0,56
1659015637533,112,GET TOKEN-6,200,OK,Thread Group 1-7,text,true,,72830,350,20,20,https://code.jquery.com/jquery-3.6.0.slim.min.js,94,0,74
1659015637572,93,GET TOKEN-7,200,OK,Thread Group 1-7,text,true,,85419,378,20,20,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,84,0,57
1659015637620,89,GET TOKEN-8,200,OK,Thread Group 1-7,text,true,,90624,367,20,20,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,84,0,47
1659015637620,100,GET TOKEN-9,200,OK,Thread Group 1-7,text,true,,91004,363,20,20,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,95,0,48
1659015637620,86,GET TOKEN-10,200,OK,Thread Group 1-7,text,true,,5242,367,20,20,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,85,0,47
1659015637651,112,GET TOKEN-11,200,OK,Thread Group 1-7,text,true,,74430,372,20,20,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,104,0,68
1659015637666,21,GET TOKEN-12,200,OK,Thread Group 1-7,text,true,,1518,397,20,20,http://localhost/static/js/sb-admin.min.js,21,0,0
1659015637667,17,GET TOKEN-13,200,OK,Thread Group 1-7,text,true,,1389,387,20,20,http://localhost/dist/app.min.js,17,0,0
1659015637687,13,GET TOKEN-14,200,OK,Thread Group 1-7,text,true,,909,399,20,20,http://localhost/dist/accountSwitcher.min.js,13,0,0
1659015636974,951,GET TOKEN,200,OK,Thread Group 1-8,text,true,,894667,5989,23,23,http://localhost/login,747,0,0
1659015636974,748,GET TOKEN-0,200,OK,Thread Group 1-8,text,true,,59948,325,23,23,http://localhost/login,747,0,0
1659015637727,36,GET TOKEN-1,200,OK,Thread Group 1-8,bin,true,,110571,390,23,23,http://localhost/static/favicon.ico,18,0,0
1659015637727,85,GET TOKEN-2,200,OK,Thread Group 1-8,text,true,,85082,381,23,23,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,73,0,39
1659015637727,152,GET TOKEN-3,200,OK,Thread Group 1-8,text,true,,186579,770,23,23,http://localhost/dist/style.min.css,24,0,0
1659015637727,56,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,24,0,0
1659015637785,94,GET TOKEN-1,200,OK,ResDownload-Thread-14,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,94,0,67
1659015637727,74,GET TOKEN-4,200,OK,Thread Group 1-8,text,true,,11624,369,23,23,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,73,0,38
1659015637727,94,GET TOKEN-5,200,OK,Thread Group 1-8,text,true,,17502,374,23,23,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,93,0,49
1659015637727,142,GET TOKEN-6,200,OK,Thread Group 1-8,text,true,,72830,350,23,23,https://code.jquery.com/jquery-3.6.0.slim.min.js,114,0,93
1659015637764,83,GET TOKEN-7,200,OK,Thread Group 1-8,text,true,,85417,378,23,23,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,77,0,54
1659015637802,81,GET TOKEN-8,200,OK,Thread Group 1-8,text,true,,90624,367,23,23,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,75,0,44
1659015637813,112,GET TOKEN-9,200,OK,Thread Group 1-8,text,true,,91004,363,23,23,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,87,0,46
1659015637822,68,GET TOKEN-10,200,OK,Thread Group 1-8,text,true,,5242,367,23,23,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,67,0,37
1659015637847,30,GET TOKEN-11,200,OK,Thread Group 1-8,text,true,,74428,372,23,23,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,22,0,0
1659015637870,17,GET TOKEN-12,200,OK,Thread Group 1-8,text,true,,1518,397,23,23,http://localhost/static/js/sb-admin.min.js,17,0,1
1659015637878,20,GET TOKEN-13,200,OK,Thread Group 1-8,text,true,,1389,387,23,23,http://localhost/dist/app.min.js,20,0,2
1659015637880,15,GET TOKEN-14,200,OK,Thread Group 1-8,text,true,,909,399,23,23,http://localhost/dist/accountSwitcher.min.js,15,0,2
1659015637041,935,GET TOKEN,200,OK,Thread Group 1-9,text,true,,894661,5989,24,24,http://localhost/login,712,0,0
1659015637041,714,GET TOKEN-0,200,OK,Thread Group 1-9,text,true,,59929,325,24,24,http://localhost/login,712,0,0
1659015637759,35,GET TOKEN-1,200,OK,Thread Group 1-9,bin,true,,110571,390,24,24,http://localhost/static/favicon.ico,12,0,0
1659015637759,95,GET TOKEN-2,200,OK,Thread Group 1-9,text,true,,85094,381,24,24,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,86,0,63
1659015637759,120,GET TOKEN-3,200,OK,Thread Group 1-9,text,true,,186579,770,24,24,http://localhost/dist/style.min.css,30,0,1
1659015637759,42,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,30,0,1
1659015637803,76,GET TOKEN-1,200,OK,ResDownload-Thread-8,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,76,0,51
1659015637759,94,GET TOKEN-4,200,OK,Thread Group 1-9,text,true,,11624,369,24,24,https://cdn.datatables.net/1.12.1/css/dataTables.bootstrap4.min.css,93,0,60
1659015637759,107,GET TOKEN-5,200,OK,Thread Group 1-9,text,true,,17500,374,24,24,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css,105,0,61
1659015637759,130,GET TOKEN-6,200,OK,Thread Group 1-9,text,true,,72830,350,24,24,https://code.jquery.com/jquery-3.6.0.slim.min.js,94,0,74
1659015637795,92,GET TOKEN-7,200,OK,Thread Group 1-9,text,true,,85413,378,24,24,https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js,85,0,59
1659015637854,100,GET TOKEN-8,200,OK,Thread Group 1-9,text,true,,90621,367,24,24,https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js,94,0,52
1659015637854,122,GET TOKEN-9,200,OK,Thread Group 1-9,text,true,,91004,363,24,24,https://cdn.datatables.net/1.12.1/js/jquery.dataTables.min.js,117,0,53
1659015637866,92,GET TOKEN-10,200,OK,Thread Group 1-9,text,true,,5242,367,24,24,https://cdn.datatables.net/1.12.1/js/dataTables.bootstrap4.min.js,92,0,60
1659015637881,92,GET TOKEN-11,200,OK,Thread Group 1-9,text,true,,74438,372,24,24,https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js,87,0,54
1659015637887,12,GET TOKEN-12,200,OK,Thread Group 1-9,text,true,,1518,397,24,24,http://localhost/static/js/sb-admin.min.js,12,0,1
1659015637889,24,GET TOKEN-13,200,OK,Thread Group 1-9,text,true,,1389,387,24,24,http://localhost/dist/app.min.js,24,0,1
1659015637900,40,GET TOKEN-14,200,OK,Thread Group 1-9,text,true,,909,399,24,24,http://localhost/dist/accountSwitcher.min.js,40,0,0
1659015637174,939,GET TOKEN,200,OK,Thread Group 1-11,text,true,,894694,5989,26,26,http://localhost/login,712,0,11
1659015637174,715,GET TOKEN-0,200,OK,Thread Group 1-11,text,true,,59941,325,26,26,http://localhost/login,712,0,11
1659015637892,53,GET TOKEN-1,200,OK,Thread Group 1-11,bin,true,,110571,390,26,26,http://localhost/static/favicon.ico,16,0,0
1659015637892,110,GET TOKEN-2,200,OK,Thread Group 1-11,text,true,,85093,381,26,26,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css,104,0,71
1659015637892,154,GET TOKEN-3,200,OK,Thread Group 1-11,text,true,,186579,770,26,26,http://localhost/dist/style.min.css,22,0,0
1659015637892,51,GET TOKEN-0,200,OK,,text,true,,182430,390,0,0,http://localhost/dist/style.min.css,22,0,0
1659015637945,101,GET TOKEN-1,200,OK,ResDownload-Thread-20,text,true,,4149,380,0,0,https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500&display=swap,101,0,63
